,,Proglang,HTTP,UX,Visual,Cross Disc
t.1,HTTP,,1,,,
t.2,Git,,,,,1
t.3,Ruby,1,,,,
t.4,Rails,1,,,,
t.5,Swift,1,,,,
t.6,Go,1,,,,
t.7,Elixir,1,,,,
t.8,Python,1,,,,
t.9,Java,1,,,,
t.10,Kotlin,1,,,,
t.11,PostgreSQL,,,,,1
t.12,MySQL,,,,,1
t.13,Coffeescript,1,,,,
t.14,JavaScript,1,,,,
t.15,jQuery,1,,,,
t.16,CSS,1,,,,
t.17,HTML,1,,,,
t.18,C,1,,,,
t.19,C++,1,,,,
t.20,Objective-C,1,,,,
t.21,Bash,1,,,,
t.22,Regular Expressions,,,,,1
t.23,UX/UI Sketching,,,1,,
t.24,Visual/Interface Design,,,,1,
t.25,Usability Testing,,,1,,